# Propeller static thrust/torque coefficients for HITL simulation.
#
# Convention: kt = ct_static * rho * D^4, kq = cq_static * rho * D^5
# where D is in METERS, rho = 1.225 kg/m^3, and motor speed omega is in RAD/S.
# Thrust = kt * omega^2, torque = kq * omega^2.
#
# These are CALIBRATED static coefficients in the rad/s convention, NOT the
# aerospace-standard CT(n) with n in revolutions/sec. To convert to standard:
#   CT_aero = ct_static * (2*pi)^2 ~ 39.5x larger
# (e.g. 5x4.5x3 ct_static 2.745e-3 -> CT_aero 0.108, a typical FPV value.)
#
# BENCH CALIBRATION (2026-05-30): ct_static is now PHYSICAL — a real static
# thrust coefficient (CT_aero ~0.09-0.12 across all FPV prop sizes), not the
# legacy per-size-anchored formula values (which over-produced thrust ~4x and
# had a non-physical diameter dependence). Basis:
#   ct_static = 0.00283 * (0.7 + 0.06*pitch) * (0.85 + 0.05*blades)
#   cq_static = ct_static * 0.348*(0.010+0.002*pitch+0.002*blades) / D_meters
# The absolute level is anchored to the iFlight XING2 2207 bench report
# (1576 g pull and 40.35 A at 16 V / full throttle, 5" prop); combined with
# the torque-balance loaded-RPM model it reproduces bench max-thrust within ~2%.
# Thrust scales with D^4 via kt (physics), so ct stays ~size-independent.
#
# Relative ratios across (pitch, blade_count) follow real bench data:
#   - Per inch of pitch: ~6-8% more thrust at same RPM (0.7 + 0.06*pitch).
#   - Blade count: ~15% per-blade spread (2 vs 3 blade), matching APC/HQProp dyno.
#
# ACCURACY NOTE: max-thrust is bench-anchored for 5"-class motors (the XING2
# 2207 anchor). The loaded-RPM factor is a single constant (0.88 of no-load);
# this is accurate for well-matched mid-KV motors but over-credits tiny high-KV
# motors (a 0802 12000KV bogs to ~0.5 of no-load), so micro builds read low on
# hover throttle. A per-motor torque-balance loaded-RPM model (using motor R/Kt)
# is the follow-up that removes this residual across the full KV range.
#
# Source column lists the manufacturer page consulted for the (D, P, B) ratio
# relationships. Numerical values are derived from the bench-anchored basis
# above, not direct copies of published CT(n) numbers.
#
diameter_in,pitch_in,blade_count,manufacturer,model,ct_static,cq_static,source
2.5,1.6,3,Gemfan,1636,2.252680e-03,2.370316e-04,gemfanhobby.com/products/1636-3blade
2.5,1.6,4,Gemfan,1636-4,2.365314e-03,2.748085e-04,gemfanhobby.com/products/1636-4blade
2.5,2.5,2,HQProp,2.5x2.5x2,2.285225e-03,2.379513e-04,hqprop.com/products/2-5x2-5-2blade
3.0,1.6,3,Gemfan,3016,2.252680e-03,1.975263e-04,gemfanhobby.com/products/3016-3blade
3.0,2.0,3,EMAX,Avan-2-3,2.320600e-03,2.119603e-04,emaxmodel.com/avan-mini-2
3.0,2.5,3,HQProp,T3x2.5x3,2.405500e-03,2.307007e-04,hqprop.com/t3x2-5x3
3.0,3.0,3,HQProp,T3x3x3,2.490400e-03,2.502166e-04,hqprop.com/t3x3x3
3.0,3.0,2,HQProp,T3x3x2,2.365880e-03,2.160961e-04,hqprop.com/t3x3x2
3.0,4.0,3,DALProp,Cyclone-3040C,2.660200e-03,2.915747e-04,daldrones.com/cyclone-3040
3.5,2.0,3,Gemfan,3520-3,2.320600e-03,1.816803e-04,gemfanhobby.com/products/3520-3blade
3.5,3.0,3,HQProp,T3.5x3x3,2.490400e-03,2.144713e-04,hqprop.com/t3-5x3x3
4.0,2.5,3,HQProp,T4x2.5x3,2.405500e-03,1.730255e-04,hqprop.com/t4x2-5x3
4.0,4.0,3,HQProp,T4x4x3,2.660200e-03,2.186810e-04,hqprop.com/t4x4x3
4.0,4.0,2,HQProp,T4x4x2,2.527190e-03,1.904347e-04,hqprop.com/t4x4x2
4.0,4.5,3,DALProp,Cyclone-4045C,2.745100e-03,2.350627e-04,daldrones.com/cyclone-4045
4.0,5.0,3,Gemfan,4050-3,2.830000e-03,2.520260e-04,gemfanhobby.com/products/4050-3blade
5.0,3.0,3,Gemfan,5030-3,2.490400e-03,1.501299e-04,gemfanhobby.com/products/5030-3blade
5.0,3.0,2,HQProp,T5x3x2,2.365880e-03,1.296577e-04,hqprop.com/t5x3x2
5.0,4.0,3,HQProp,T5x4x3,2.660200e-03,1.749448e-04,hqprop.com/t5x4x3
5.0,4.0,2,Gemfan,5040-2,2.527190e-03,1.523478e-04,gemfanhobby.com/products/5040-2blade
5.0,4.3,3,HQProp,T5x4.3x3,2.711140e-03,1.827522e-04,hqprop.com/t5x4-3x3
5.0,4.5,3,HQProp,T5x4.5x3,2.745100e-03,1.880502e-04,hqprop.com/t5x4-5x3
